Timestep,Distance (Å)
17900,16.375640481123938
18000,16.282309947361156
18100,16.174676532556717
18200,16.049690590131668
18300,15.906419213735095
18400,15.752406538366893
18500,15.58989428658912
18600,15.414179446093426
18700,15.22889982546671
18800,15.051870112477717
18900,14.921153776099223
19000,14.869268020279277
19100,14.86815603423639
19200,14.896134151587788
19300,14.94001306600834
19400,14.984256007343175
19500,15.024760843850395
19600,15.060942418507548
19700,15.093505985303747
19800,15.131282981693918
19900,15.176592101707154
20000,15.224477077771834
20100,15.270476673467005
20200,15.310483590210335
20300,15.344509432288804
20400,15.37120618837702
20500,15.395788047219277
20600,15.433163843383538
20700,15.471661392743863
20800,15.503282039556172
20900,15.523806982630292
21000,15.532257063537932
21100,15.531169661786613
21200,15.5190357862884
21300,15.497645055194965
21400,15.467048080302332
21500,15.429606534209352
21600,15.385913309097903
21700,15.332505420691165
21800,15.273443928048316
21900,15.21129697501252
22000,15.149060025303747
22100,15.101442812752992
22200,15.090203451840402
22300,15.121131678604252
22400,15.189344154798125
22500,15.296764912232263
22600,15.418426333582165
22700,15.536397795898509
22800,15.646352712296881
22900,15.748761761881473
23000,15.838774950181593
23100,15.912545843767425
23200,15.969916023602002
23300,16.008457313870068
23400,16.016653643707855
23500,15.988816795263496
23600,15.939408344668882
23700,15.870195043968424
23800,15.782391221994848
23900,15.67573277489764
24000,15.552402884712059
24100,15.416338977669115
24200,15.261200182488924
24300,15.080573321425817
24400,14.87991936356175
24500,14.664510319257168
24600,14.443581224298221
24700,14.241137920068047
24800,14.056773835489423
24900,13.901713071503094
25000,13.7786397287831
25100,13.672227116326
25200,13.5717417336759
25300,13.475707860253575
25400,13.386990328300087
25500,13.318112907799662
25600,13.282711817324806
25700,13.287259096352415
25800,13.309698088777218
25900,13.34375726173479
26000,13.400843664863045
26100,13.474333432942055
26200,13.559700655707708
26300,13.656068171973951
26400,13.769822745859875
26500,13.89513951747157
26600,14.009540182065221
26700,14.10356949651045
26800,14.183600673749947
26900,14.245643914698979
27000,14.289653161924402
27100,14.310913620468124
27200,14.318944711536568
27300,14.309766446485561
27400,14.289701857617604
27500,14.276750346953085
27600,14.270164679225006
27700,14.263555257135614
27800,14.255740957492739
27900,14.251296650494963
28000,14.251248363295193
28100,14.254759227054098
28200,14.255507721298773
28300,14.249953598347046
28400,14.237370527347947
28500,14.22550413136687
28600,14.213828750282909
28700,14.1969448650143
28800,14.17888251721866
28900,14.167351134327161
29000,14.154546977379704
29100,14.136448074287404
29200,14.123007518848665
29300,14.113917257616189
29400,14.106157869831033
29500,14.10671620667351
29600,14.120011561174305
29700,14.136993766284117
29800,14.156500256595944
29900,14.176109979807014
30000,14.190939536435069
30100,14.207437421871688
30200,14.221171586231705
30300,14.222265013362815
30400,14.21080425337018
30500,14.196732526063734
30600,14.181328683296531
30700,14.16638086352619
30800,14.161103841159028
30900,14.167125912676326
31000,14.184559687703564
